Kode,Nama,Air,Energi,Protein,Lemak,Karbohidrat,Serat,Abu,Kalsium,Fosfor,Besi,Natrium,Kalium,Tembaga,Seng,Retinol,?-karoten,Karoten,Thiamin,Riboflavin,Niasin,Vitamin C,BDD,Olahan,Makanan,TKPI 2019
AP011,"Jagung kuning, tepung",12.0,355.0,9.2,3.9,73.7,7.2,1.2,10.0,256.0,2.4,11.0,24.4,0.23,1.7,0.0,0.0,510.0,0.38,0.02,0.3,0.0,100.0,Olahan,Serealia,DABM-1964
AP012,"Jagung kuning pipil, rebus",63.7,154.0,3.8,3.5,28.4,0.7,0.6,7.0,171.0,0.5,5.0,56.4,0.1,2.0,0.0,818.0,234.0,0.08,0.1,1.7,0.0,100.0,Olahan,Serealia,KZGPI-1990
AP013,Tepung jagung putih,12.0,355.0,9.2,3.9,73.7,7.2,1.2,10.0,256.0,2.4,11.0,24.4,0.23,1.7,0.0,0.0,0.0,0.38,0.02,0.3,0.0,100.0,Olahan,Serealia,DABM-1964
AP014,Ketupat ketan,52.0,212.0,4.0,4.6,38.6,0.2,0.9,8.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.2,0.0,100.0,Olahan,Serealia,KZGPI-1990
AP015,"Ketan hitam, matang",56.9,181.0,4.0,1.2,37.3,0.3,0.6,9.0,144.0,1.7,9.0,18.4,0.1,0.7,0.0,0.0,0.0,0.06,0.0,0.5,0.0,100.0,Olahan,Serealia,KZGPI-1990
AP016,Tapai ketan hitam,50.2,166.0,3.8,1.0,34.4,0.3,0.6,8.0,106.0,1.6,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.0,Olahan,Serealia,KZGPI-1990
AP017,"Ketan putih, matang",60.7,163.0,3.0,0.4,35.7,0.2,0.2,4.0,55.0,0.7,8.0,16.8,0.1,0.7,0.0,0.0,0.0,0.07,0.0,0.5,0.0,100.0,Olahan,Serealia,KZGPI-1990
AP018,Tapai ketan putih,58.9,172.0,3.0,0.5,37.5,0.6,0.1,6.0,35.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.0,100.0,Olahan,Serealia,KZGPI-1990
AP019,"Maizena, tepung",14.0,341.0,0.3,0.0,85.0,7.0,0.7,20.0,30.0,1.5,6.0,9.0,0.22,1.6,0.0,0.0,0.0,0.0,0.09,1.3,0.0,100.0,Olahan,Serealia,DABM-1964
AP020,"Makaroni, mentah",11.7,353.0,8.7,0.4,78.7,4.9,2.5,20.0,80.0,0.3,5.0,0.0,0.28,1.4,0.0,0.0,0.0,0.1,0.13,2.2,0.0,100.0,Olahan,Serealia,DABM-1964
